n_empleado,cantidad,motivo,n_producto,fecha
7,4,vencido,3,2023/02/01
7,10,rotura,15,2023/02/05
8,5,vencido,18,2023/02/01
11,3,vencido,4,2023/02/08
14,12,vencido,12,2023/02/04
15,1,vencido,11,2023/02/10
14,1,devoluciones,11,2023/02/01
7,1,rotura,5,2023/02/01
8,9,rotura,4,2023/02/01
14,8,devoluciones,7,2023/02/01
15,6,devoluciones,9,2018/02/09
11,3,vencido,7,2018/02/04
11,2,vencido,9,2019/02/01
15,11,vencido,19,2019/02/01
7,6,rotura,16,2020/02/03
7,7,rotura,15,2020/02/09
7,3,rotura,13,2022/02/05
8,2,vencido,14,2022/02/02
11,5,rotura,17,2022/02/01
14,8,vencido,8,2022/02/01